Acanthodesmia_viniculata,Acanthosphaera_spp.,Acrobotrys_teralans,Actinomma_antarcticum,Actinomma_boreale,Actinomma_leptodermum_s.l.,Actinomma_medianum,Actinomma_sol,Actinomma_spp.,Actinomma_trinacria,Amphiplecta_acrostoma,Anomalocantha_dentata,Antarctissa_denticulata,Antarctissa_strelkovi,Stichopilidium_kruegeri,Anthocyrtidium_zanguebaricum,Arachnocorys_umbellifera,Archipilium_orthopterum,Artobotrys_borealis,Artostrobus_annulatus,Artostrobus_joergenseni,Botryocephalina_armata,Botryocyrtis_scutum,Botryopyle_inflata,Botryostrobus_aquilonaris,Botryostrobus_auritus/australis,Callimitra_spp.,Carpocanarium_papillosum,Carpocanistrum_spp.,Cenosphaera_cristata,Cenosphaera_perforata,Cenosphaera_spp.,Ceratocyrtis_histricosa,Circodiscus_microporus,Clathrocanium_coarctatum,Corythospyris_stapedius,Collosphaerid,Cornutella_profunda,Corocalyptra_craspedota,Cubotholus_spp.,Cycladophora_bicornis,Cycladophora_davisiana_cornutoides,Cycladophora_davisiana_davisiana,Cypassis_irregularis,Cyrtopera_laguncula,Dictyophimus_crisiae/hirundo,Dictyophimus_infabricatus,Dictyophimus_killmari,Dictyophimus_macropterus,Didymocyrtis_tetrathalamus,Druppatractus_irregularis,Druppatractus_variabilis,Eucyrtidium_spp.,Heliodiscus_asteriscus,Hexacontium_enthacanthum,Hexacontium_gigantheum,Hexacontium_melpomene,Hexapyle_dodecantha,Hexastylus_spp.,Hymeniastrum_euclidis,Lamprocyclas_hannai,Lamprocyclas_maritalis_s.l.,Lamprocyrtis_nigriniae,Lampromitra_coronata,Litheliidae/Pyloniidae,Larcopyle_buetschlii,Larcopyle_pylomaticus,Larcopyle_weddellium,Larcospira_quadrangula,Larnacilla_typus,Lipmanella_bombus,Lipmanella_dictyoceras,Lirella_melo,Liriospyris_reticulata,Litharachnium_tentorium,Lithelius_minor,Lithelius_nautiloides,Lithocampe_?_furcaspiculata,Lithocampe_?_platycephala,Lithomelissa_setosa,Lithomelissa_laticeps,Lithomelissa_sp._A,Lithomelissa_thoracites,Lophophaena_buetschlii,Lophospyris_pentagona,Peridium_longispinum,Peripyramis_circumtexta,Peromelissa_phalacra,Phormospyris_stabilis,Phormostichoartus_corbula,Phorticium_clevei,Plectacantha_oikiskos,Pseudocubus_obeliscus,Pseudodictyophimus_platycephalus,Pseudodictyophimus_gracilipes,Pterocanium_praetextum_eucolpum,Pterocanium_charybdeum,Pterocorys_clausus/zancleus,Pylospira_octopyle,Rhizoplegma_boreale,Saccospyris_antarctica,Saturnalis_circularis,Schizodiscus_stylotrochoides,Sethoconus_tabulatus,Siphocampe_arachnea,Siphocampe_lineata,Spongaster_tetras,Spongocore_cylindricus,Spongopyle_osculosa,Spongotrochus_glacialis,Stichocorys_seriata,Stichopilium_bicorne,Stylatractus_neptunus,Stylatractus_spp.,Stylochlamydium_asteriscus,Stylochlamydium_venustum,Stylodictya_aculeata,Stylodictya_spp.,Stylodictya_validispina,Stylosphaera_spp.,Styptosphaera_spumacea,Tetrapyle_octacantha/stenozona,Theocorys_veneris,Theocorythium_trachelium,Tessarastrum_straussi,Triceraspyris_antarctica,Trissocyclidae,Trisulcus_triacanthus
0.453514739,0.453514739,0,0,0.907029478,0.453514739,0,0.680272109,1.133786848,0,1.133786848,0,0,0,0.453514739,0.680272109,0,0,0,0.453514739,0.680272109,0,0,1.587301587,3.174603175,3.628117914,0,0.907029478,1.133786848,0,2.494331066,0,1.133786848,0,0.453514739,0.22675737,2.267573696,2.721088435,0,0.22675737,0.907029478,0.907029478,1.360544218,0.22675737,0.453514739,0.907029478,0,0,0,0.680272109,0,0.680272109,2.040816327,0,0,0,0,0.453514739,0.22675737,2.494331066,0.22675737,0.453514739,0,2.267573696,8.163265306,1.133786848,0,1.814058957,0.680272109,0.680272109,0,0.453514739,0.22675737,0,0.907029478,2.494331066,0.22675737,0.22675737,3.401360544,0.680272109,0,0,2.040816327,0.453514739,0.680272109,1.587301587,0,0.22675737,0,0,0,1.814058957,0.680272109,0.907029478,3.854875283,0.453514739,0.453514739,1.133786848,0.907029478,0,0,0,0.22675737,1.814058957,0.453514739,0.22675737,0,0,0.453514739,0,0.680272109,0.453514739,0.453514739,0,0,0.22675737,0.907029478,2.040816327,0.680272109,0,0.453514739,2.494331066,0.680272109,0.22675737,0.453514739,0,1.360544218,0.680272109
0,0.455580866,0,0,0.911161731,0.227790433,0.227790433,0.683371298,0.455580866,0,0.455580866,0.227790433,0,0,0.227790433,0.227790433,0,0.227790433,0,1.366742597,0.455580866,0,0,1.366742597,7.517084282,3.189066059,0,1.138952164,3.416856492,0,0.455580866,0,0.911161731,0.227790433,0.455580866,0.683371298,2.733485194,4.328018223,3.644646925,0,0.911161731,1.366742597,0.227790433,0.227790433,0.911161731,0.911161731,0,0.227790433,0,0.683371298,0,0.455580866,3.189066059,0.227790433,0.227790433,0.683371298,0,0,2.050113895,4.783599089,0,2.733485194,0,0.227790433,2.505694761,0.911161731,0,1.822323462,0.227790433,0.911161731,0,0,0.455580866,0,0.455580866,2.050113895,0,0,0.683371298,0,0,0,3.189066059,0.911161731,0.683371298,1.59453303,0.227790433,0.227790433,0,0,0,0.227790433,0,0,2.277904328,0.227790433,0.683371298,0.455580866,0.911161731,0,0,0,0.683371298,0,0,1.138952164,0,0.455580866,0.911161731,0,0,0,0.683371298,0,0.455580866,0.455580866,0.683371298,0.455580866,1.59453303,0,0,5.69476082,0.455580866,0.455580866,0,0,1.138952164,0.455580866
0,0.185873606,0.185873606,0,1.301115242,0.743494424,0.557620818,0.185873606,0,0.185873606,0,0,0,0,0,0.185873606,0.185873606,0.185873606,0.185873606,1.858736059,1.858736059,0,0,1.486988848,3.717472119,5.018587361,0,1.301115242,3.531598513,0,0.371747212,0,1.115241636,0,0.371747212,0.92936803,2.416356877,5.576208178,2.230483271,0.185873606,2.230483271,0.92936803,0.371747212,0,0.743494424,0.743494424,0.185873606,0.92936803,0,0.92936803,0,0.557620818,3.531598513,0.371747212,0.371747212,0,0,0.371747212,0,3.159851301,0.185873606,0.371747212,0,0.185873606,1.301115242,0.371747212,0,0.743494424,0,0,0,0,1.301115242,0,0.557620818,1.115241636,0,0,1.115241636,1.301115242,0,0,5.204460967,0.743494424,0.557620818,0.557620818,0,1.115241636,0,0,0,0,0,1.115241636,2.416356877,0.371747212,0.371747212,1.858736059,1.301115242,0,0,0,0,0,0.743494424,1.672862454,0.185873606,1.115241636,2.602230483,0,0.185873606,0,0.371747212,0,0,0,0.743494424,0,0.92936803,0.371747212,0,6.133828996,0.92936803,0.557620818,0,0.185873606,1.672862454,0.743494424
0.847457627,0,0.63559322,0,0.423728814,0.423728814,0,1.271186441,0.847457627,0,0,0,0,0,0.211864407,0,0,0,0,0,0.423728814,0,0.63559322,0.423728814,2.330508475,1.271186441,0.211864407,0.423728814,3.389830508,0,1.271186441,0,0.211864407,0.423728814,0.423728814,1.694915254,9.957627119,1.059322034,0.211864407,1.271186441,0.847457627,0.211864407,0.847457627,0,0.211864407,0.423728814,1.059322034,0,0,4.025423729,0,0.423728814,1.694915254,2.542372881,0,0,0,1.483050847,0.211864407,1.694915254,0.423728814,0.423728814,0,0.63559322,4.449152542,0,0,2.330508475,0,2.330508475,0.847457627,0,0,0.211864407,0.63559322,4.449152542,0,0,0,0,0,0,3.177966102,0.847457627,0.423728814,2.330508475,0,0.63559322,0,0,0,0,0,1.271186441,1.271186441,0.423728814,0.423728814,1.483050847,0.847457627,0,0,0.211864407,0.211864407,0,0,0,0.211864407,0.63559322,0.211864407,0,0,0,1.059322034,0,3.389830508,0,1.059322034,0.63559322,2.330508475,0,0,5.93220339,0.63559322,1.271186441,0.211864407,0,0.423728814,0.211864407
0.190839695,0.190839695,0.190839695,0,0.572519084,0.381679389,0.954198473,0.381679389,0.381679389,0.381679389,0.190839695,0.190839695,0,0,0.190839695,0.763358779,0,0,0,0.190839695,0.381679389,0,0.381679389,1.908396947,1.717557252,1.335877863,0.190839695,0.381679389,3.053435115,0,0.572519084,0,0.190839695,0,0.763358779,1.145038168,8.20610687,3.816793893,0.572519084,0.572519084,1.145038168,0.381679389,0.954198473,0,0.763358779,0.381679389,0.381679389,0.381679389,0,1.145038168,0,1.145038168,2.86259542,0.572519084,0,0.572519084,0,0.190839695,0,0.572519084,0,0.381679389,0,1.145038168,1.145038168,0,0,1.335877863,0,2.480916031,0.954198473,0,0.190839695,0,0.954198473,2.480916031,0.190839695,0.190839695,0.572519084,0,0,0,5.534351145,0.572519084,0.190839695,4.198473282,0,0.381679389,0.190839695,0,0,1.145038168,0.190839695,1.908396947,2.86259542,0.954198473,0.190839695,3.244274809,0.190839695,0,0,0.190839695,0.381679389,0.381679389,0,0.572519084,0.381679389,0.381679389,0.190839695,0,0.381679389,0,0,0,1.145038168,0.381679389,1.526717557,0.190839695,2.290076336,0,0,4.770992366,0.572519084,3.244274809,0.572519084,0,0.954198473,0.190839695
0,0.179856115,0,0,1.978417266,1.438848921,0.899280576,0.35971223,0.179856115,0,0.179856115,0,0,0,0.71942446,0,0,0,0,0.179856115,1.079136691,0,0,1.258992806,4.496402878,1.978417266,0,1.438848921,1.978417266,0,1.258992806,0,0.35971223,0,0.71942446,0.35971223,2.697841727,5.215827338,2.158273381,0.179856115,0.71942446,0.539568345,1.978417266,0,0.899280576,0.539568345,0.539568345,0.71942446,0,0.539568345,0,0.899280576,5.215827338,0.179856115,0,0.179856115,0,0.179856115,0.71942446,0.899280576,0.179856115,1.798561151,0.179856115,1.079136691,1.798561151,0.71942446,0.179856115,1.079136691,0.179856115,1.978417266,0,0,0,0,0.71942446,2.158273381,0.179856115,0,0.71942446,0.539568345,0,0,3.597122302,0.71942446,0.179856115,6.294964029,0.179856115,0.35971223,0,0,0,0.539568345,0.35971223,1.978417266,2.517985612,0.539568345,0.539568345,1.258992806,0,0,0,0.179856115,0.179856115,0,0,0.539568345,0.179856115,0.35971223,1.978417266,0,0,0,0.35971223,0,1.079136691,0.539568345,1.438848921,1.079136691,1.438848921,0,0,4.496402878,0.539568345,0.71942446,0.179856115,0,1.258992806,0.539568345
0,0.216450216,0.216450216,0.216450216,0.216450216,0.216450216,1.298701299,0.649350649,0.432900433,0.432900433,0,0,0,0.216450216,0.216450216,0,0,0,0,0.216450216,0.649350649,0,0.216450216,1.082251082,2.813852814,2.380952381,0.216450216,0,1.298701299,0,0.865800866,0,0.649350649,0,0.432900433,0.649350649,3.463203463,3.896103896,0.649350649,0,1.731601732,1.298701299,1.731601732,0,1.082251082,0.865800866,0.432900433,0.649350649,0,0.649350649,0.216450216,1.515151515,4.112554113,0,0,0.216450216,0,0,0.649350649,0.865800866,0.216450216,0.865800866,0,0.432900433,3.463203463,2.380952381,0.216450216,2.813852814,0,2.380952381,0.649350649,0,0,0,1.298701299,1.948051948,0.216450216,0,0.649350649,0.216450216,0.216450216,0,2.380952381,0.865800866,0.865800866,3.03030303,0,0,0,0,0,0.216450216,0,0.865800866,3.03030303,0.216450216,0.216450216,3.03030303,0.432900433,0,0,0,0,0.649350649,0,0.432900433,0,1.082251082,4.329004329,0,0,0,0,0.216450216,0.216450216,0.216450216,2.164502165,0.432900433,4.329004329,0,0,3.03030303,0.432900433,1.948051948,0,0,1.298701299,0.865800866
0.194174757,0,0,0,1.553398058,0.194174757,0.194174757,0,0,0,0,0,0,0,0.194174757,0,0,0.194174757,0,0.194174757,0.970873786,0,0.582524272,1.359223301,1.553398058,2.718446602,0.194174757,0.388349515,3.495145631,0,1.165048544,0,0.582524272,0.194174757,0.388349515,0.194174757,7.378640777,5.242718447,0.388349515,0,2.912621359,0.582524272,0.194174757,0,0.388349515,0.388349515,0.970873786,0.194174757,0,0.970873786,0,1.359223301,2.524271845,0.582524272,0,0.388349515,0,0,0.194174757,1.941747573,0,0.970873786,0,0.388349515,2.718446602,1.359223301,0,1.941747573,0.388349515,2.718446602,0.582524272,0,0.582524272,0,0.194174757,3.689320388,0,0,0.970873786,0.194174757,0,0,2.912621359,0.970873786,0.194174757,2.330097087,0.194174757,0.970873786,0,0,0,0,0.194174757,0.582524272,2.330097087,0.388349515,0.388349515,1.941747573,0.776699029,0,0,0,0.388349515,0,0,0.388349515,0,0.388349515,2.330097087,0,0,0,0,0,1.359223301,1.165048544,2.13592233,1.747572816,3.495145631,0.194174757,0,2.718446602,0.776699029,1.553398058,0,0,2.13592233,0.194174757
0,0,0,0,0.367647059,4.044117647,0,0,0,0,0,0,53.30882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.102941176,0,0,0,0,0,0,0,0,0,0,0,0,10.66176471,0,0,0,0,0,0,0,0,0.735294118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.676470588,0,0,1.470588235,0,0,0,0,0,0,0,2.573529412,0.735294118,0,0,10.66176471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.102941176,0,0,0,0,0,0,0,1.470588235,2.941176471,0,0,0,0,0,0,1.470588235,0,0,0,0,0,0,0,0,3.676470588,0,0
0,0,0,0,4.854368932,2.265372168,0,0,0,0,0,0,21.6828479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.74433657,0,0,0,0,0,0,0,0,0,0,0.323624595,0,3.236245955,0,0,1.618122977,0,0,0,0,0,0.323624595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.29773463,0,0,3.55987055,0,0,0,0,0,4.530744337,0.323624595,0.323624595,0.647249191,0,0,2.265372168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.618122977,0,0,0,0,0,0,0,3.55987055,4.207119741,0,0,0,0,0,0,1.294498382,0,0,0,0,0,0,0,0,0.323624595,0,0
0,0,0,0,1.666666667,3.333333333,0,0,0,0,0,0,39.16666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,1.25,0,0,0,0,0,0,0,0,0,0.416666667,0,4.166666667,0,0,0.833333333,0,0,0,0,0,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,2.916666667,0,0,0,0,0,1.25,0.833333333,0,2.083333333,0,0,6.666666667,0,0,0,0,0,0,0,0,0.416666667,0,0,0,0,0,0,0,0,0,2.916666667,0,0,0,0,0,0,0,1.25,5,0,0,0,0,0,0,1.666666667,0,0,0,0,0,0,0,0,4.583333333,0,0
0,0,0,0,1.023017903,1.023017903,0,0,0,0,0,0,53.7084399,0,0,0,0,0,0,0,0.255754476,0,0,0,0,0,0,0,0,4.092071611,0,0,0,0,0,0,0,0,0,0,0.511508951,0,8.95140665,0,0,0.255754476,0,0,0,0,0,0.767263427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.557544757,0,0,0.255754476,0,0,0,0,0,2.046035806,0,3.069053708,0.255754476,0,0,5.115089514,0,0,0,0,0,0,0,0,0.255754476,0,0,0,0,0,0,0,0,0,1.023017903,0,0,0.255754476,0,0,0,0,2.046035806,6.905370844,0,0,0,0,0,0,0.255754476,0,0,0,0,0,0,0,0,5.37084399,0,0
0,0,0,0,0.879765396,2.639296188,0,0,0,0,0,0,52.49266862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6627566,0,0,0,0,0,0,0,0,0,0,0,0,8.797653959,0,0,0.293255132,0,0,0,0,0,0.586510264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.519061584,0,0,0,0,0,0,0,0,0.293255132,0,2.052785924,0.879765396,0,0,4.692082111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46627566,0,0,0.293255132,0,0,0,0,0.293255132,2.93255132,0,0,0,0,0,0,1.759530792,0,0,0,0,0,0,0,0,1.46627566,0,0
0,0,0,3.812316716,0.293255132,0.293255132,0,0,0,0,0,0,0,8.797653959,0,0,0,0,0,0,0.293255132,0,0,4.398826979,0,4.398826979,0,0,0,0,1.46627566,0,0,0,0,0,0,0,3.225806452,0,1.759530792,0,4.985337243,0,0,0.879765396,0,0,0,0,0,2.639296188,1.46627566,0.293255132,0,0,0,0,0,0.586510264,0,1.759530792,0,0,0,2.052785924,1.173020528,0,0,0,0,0,0,0,0,0,0,0.879765396,2.052785924,9.970674487,0,0,2.93255132,0,0,0,0,0,0,0,10.85043988,0,0,0,0,0,0,2.639296188,0.586510264,0,0,0,0,0,0,0,0,0,8.211143695,3.225806452,0,0,0,0,0,3.519061584,1.46627566,0,1.759530792,0,0,5.571847507,0,0.293255132,0,0,0,1.46627566
0,0,0,5.523255814,2.61627907,0,0,0,0,0,0,0,0.290697674,15.69767442,0,0,0,0,0,0,0.290697674,0,0,5.813953488,0,1.453488372,0,0,0,0,0.581395349,0,0,0,0,0,0,0,2.325581395,0,2.906976744,0,6.104651163,0,0,0.290697674,0,0,0,0,0,1.162790698,1.162790698,0,0,0,0,0,0,0.581395349,0,0.872093023,0,0,0,0.290697674,0.872093023,0,0,0,0,0,0,0,0,2.034883721,0,2.325581395,3.197674419,6.976744186,0,1.453488372,0.872093023,0,0,0,0,0,0,0,16.86046512,0,0,0,0,0.290697674,0,0.581395349,0.290697674,0,0.581395349,0,0,0,0,0,0,0,3.488372093,0.872093023,0,0,0,0,0,4.941860465,0.872093023,0,1.162790698,0,0,4.360465116,0,0,0,0,0,0
