Acanthodesmia_micropora,Acanthodesmia_viniculata,Acanthosphaera_spp.,Acrobotrys_teralans,Acrosphaera_arktios,Acrosphaera_lappacea,Acrosphaera_mercurius,Acrosphaera_murrayana,Acrosphaera_spinosa,Actinomma_antarcticum,Actinomma_arcadophorum,Actinomma_boreale,Actinomma_delicatulum,Actinomma_hastatum,Actinomma_leptodermum_s.l.,Actinomma_medianum,Actinomma_popofskii,Actinomma_sol,Actinomma_spp.,Actinomma_trinacria,Actinosphaera_spp.,Amphiplecta_acrostoma,Amphirhopalum_ypsilon,Anomalocantha_dentata,Antarctissa_denticulata,Antarctissa_spp.,Antarctissa_strelkovi,Stichopilidium_kruegeri,Anthocyrtidium_zanguebaricum,Arachnocorys_umbellifera,Archipilium_orthopterum,Artobotrys_borealis,Artostrobus_annulatus,Artostrobus_joergenseni,Axoprunum_stauraxonium,Botryocephalina_armata,Botryocyrtis_scutum,Botryopyle_cribrosa,Botryopyle_inflata,Botryostrobus_aquilonaris,Botryostrobus_auritus/australis,Botryostrobus_spp.,Callimitra_spp.,Carpocanarium_papillosum,Carpocanistrum_spp.,Cenosphaera_cristata,Cenosphaera_perforata,Cenosphaera_spp.,Ceratocyrtis_histricosa,Circodiscus_microporus,Cladococcus_abietinus,Cladoscenium_ancoratum,Cladoscenium_limbatum,Cladoscenium_sp._1,Cladoscenium_tricolpium,Clathrocanium_coarctatum,Corythospyris_stapedius,Collosphaera_tuberosa,Collosphaerid,Cornutella_profunda,Corocalyptra_craspedota,Pseudodictyophimus_horrida,Cubotholus_spp.,Cycladophora_bicornis,Cycladophora_davisiana_cornutoides,Cycladophora_davisiana_davisiana,Cypassis_irregularis,Cypassis_spp.,Cyrtopera_laguncula,Dendrospyris_spp.,Dictyocoryne_profunda,Dictyocoryne_truncatum,Dictyophimus_archipilium,Pterocanium_auritum,Dictyophimus_crisiae/hirundo,Dictyophimus_infabricatus,Dictyophimus_killmari,Dictyophimus_spp.,Didymocyrtis_tetrathalamus,Stylatractus_ostracion,Druppatractus_variabilis,Enneaphormis_rotula,Euchitonia_elegans/furcata_gr.,Eucyrtidium_acuminatum,Eucyrtidium_annulatum,Eucyrtidium_cienkowskii,Eucyrtidium_hexagonatum,Eucyrtidium_octocolum,Eucyrtidium_spp.,Eucyrtidium_teuscheri,Euphysetta_elegans,Euphysetta_nathorstii,Euphysetta_staurocodon,Gondwanaria_campanulaeformis,Gondwanaria_dogieli,Gondwanaria_spp.,Gonosphaera_primordialis,Heliodiscus_asteriscus,Hexacontium_enthacanthum,Hexacontium_gigantheum,Hexacontium_melpomene,Hexacontium_pachydermum,Hexapyle_dodecantha,Hexastylus_spp.,Hymeniastrum_euclidis,Lamprocyclas_hannai,Lamprocyclas_maritalis_s.l.,Lamprocyrtis_nigriniae,Lampromitra_coronata,Litheliidae/Pyloniidae,Larcopyle_buetschlii,Larcopyle_pylomaticus,Larcopyle_weddellium,Larcospira_bulbosa,Larcospira_quadrangula,Larnacilla_typus,Lipmanella_bombus,Lipmanella_dictyoceras,Liriospyris_reticulata,Litharachnium_tentorium,Lithelius_minor,Lithelius_nautiloides,Lithelius_sp._1,Lithocampe_?_furcaspiculata,Lithocampe_?_platycephala,Lithomelissa_setosa,Lithomelissa_sp._B,Lithomelissa_hystrix,Lithomelissa_laticeps,Lithomelissa_sp._A,Lithomelissa_thoracites,Lonchosphaera_spicata,Lophophaena_buetschlii,Lophophaena_hispida,Lophospyris_pentagona,Mitrocalpis_araneafera,Solenosphaera_zanguebarica,Peridium_longispinum,Peripyramis_circumtexta,Peromelissa_phalacra,Phormacantha_hystrix,Phormospyris_stabilis,Phormostichoartus_corbula,Phorticium_clevei,Plectacantha_cremastoplegma,Plectacantha_oikiskos,Plectopyramis_dodecomma,Protocystis_balfouri,Protocystis_harstoni,Protocystis_swirei,Pseudocubus_obeliscus,Pseudodictyophimus_platycephalus,Pseudodictyophimus_bicornis,Pseudodictyophimus_gracilipes,Pseudodictyophimus_gracilipes_multispinus,Pterocanium_praetextum_eucolpum,Pterocanium_praetextum_praetextum,Pterocanium_charybdeum,Pterocorys_clausus/zancleus,Pterocorys_hertwigii,Pteroscenium_pinnatum,Pylospira_octopyle,Rhizoplegma_boreale,Saccospyris_antarctica,Saccospyris_conythorax,Saturnalis_circularis,Schizodiscus_stylotrochoides,Sethoconus_tabulatus,Siphocampe_arachnea,Siphocampe_lineata,Siphonosphaera_socialis,Sphaeropyle_antarctica,Sphaeropyle_robusta,Sphaerozoum_punctatum,Spongaster_tetras,Spongocore_cylindricus,Spongodiscus_resurgens,Spongopyle_osculosa,Spongotrochus/Spongopyle_spp.,Spongotrochus_glacialis,Spongurus_sp._cf._S._elliptica,Stichocorys_seriata,Stichopilium_bicorne,Stylatractus_neptunus,Stylatractus_sp._A,Stylatractus_spp.,Stylochlamydium_asteriscus,Stylochlamydium_spp.,Stylochlamydium_venustum,Stylodictya_aculeata,Stylodictya_spp.,Stylodictya_tenuispina,Stylodictya_validispina,Styptosphaera_spumacea,Tetraphormis_dodecaster,Tetrapyle_octacantha/stenozona,Theocorys_veneris,Theocorythium_trachelium,Tholospyris_gephyristes,Triceraspyris_antarctica,Trissocyclidae,Trisulcus_testudus,Trisulcus_triacanthus,Zygocircus_productus_gr.
0.497512438,0,0,0,0,0,0,0,0,0,0,0.248756219,0,0,0.497512438,0,0,0,0,0,0,0,0,0,14.67661692,0.497512438,2.487562189,0,0,0,0,0,0.995024876,0.995024876,0,0,0,0,0,0,0.995024876,0,0,0,0,0,0,0,0,0,0,0,0,0,1.492537313,0,0,0,0,0,0,0,0,0.248756219,0.995024876,4.975124378,0,0,0.746268657,0,0,0,0,0,0,0,0,0,0,0,1.741293532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.955223881,0,0.995024876,1.243781095,0,0,0,0,0,0,0,0.248756219,0.497512438,0.746268657,0.995024876,1.741293532,1.243781095,0,0,0,3.233830846,0,0,0,0,0,0,0,0.746268657,0.746268657,0,0.497512438,0,0,0,0,0.248756219,0,0,0,0,0,0.746268657,0.497512438,2.487562189,0.497512438,0,0,0,0,0,0,0,0.248756219,1.243781095,0.248756219,0,0,0,6.965174129,0,0,0.746268657,0,0,0,0,0,0.497512438,2.487562189,0.995024876,0,0,0,0,0,0,0,0,0,1.990049751,0,0.497512438,0,0,0,0,0,0,0,0.746268657,0,0,0,8.706467662
0,0,0,0,0,0,0.233100233,0,0,0,0,0.932400932,0.233100233,0,0.466200466,0,0,0,0.699300699,0,0,0,0,0,23.54312354,0.466200466,12.12121212,0,0,0,0,0,0.932400932,1.165501166,0,0,0,0,0,0,1.631701632,0,0,0.233100233,0,0,0,0.233100233,0,0,0,0,0,0,0.932400932,0,0,0,0,0.233100233,0,0,0,0,0.233100233,6.060606061,0,0,0.233100233,0,0,0,0,0,0,0,0,0,0,0,0.699300699,0.466200466,0,0,0,0,0,0,0,0,0,0,0,0.233100233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.48951049,1.165501166,0.932400932,1.398601399,0,0,0,0,0,0,0,0,1.631701632,0.233100233,0.233100233,1.631701632,0.466200466,0,0,0,2.097902098,0,0,0,0,0,0,0,0.466200466,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233100233,0.233100233,2.097902098,0.233100233,0,0,0,0,0,0,0,0,0.932400932,0,0,0,0,2.097902098,0,0,0.233100233,0,0,0,0,0.233100233,1.165501166,2.564102564,0.699300699,0,0,0,0.233100233,0,0,0,0,0,0.932400932,0,0.466200466,0,0,0,0,0,0,0,1.165501166,0,0,0,5.361305361
0.985221675,0,0,0,0,0,0.246305419,0,0,0,0,0,0.246305419,0,0.492610837,0,0,0,0.492610837,0,0,0,0,0,11.08374384,0,5.911330049,0,0,0,0,0,2.216748768,1.477832512,0,0,0,0,0,0,1.724137931,0,0,0,0,0,0,0,0,0,0,0.985221675,0.492610837,0,0.738916256,0,0,0,0,0.738916256,0,0,0,0,0,5.418719212,0,0,0.246305419,0,0,0,0,0,0.246305419,0,0,0,0,0,2.463054187,0.246305419,0,0,0,0,0,0,0,0.492610837,0,0,0,0.492610837,0,0,0.492610837,0,0,0,0,0,0,0,0,0,0,0,0,9.60591133,0.985221675,0,0.985221675,0,0,0,0,0,0,0,0,0.246305419,0.492610837,0.246305419,1.477832512,0.492610837,0,0,0,3.694581281,0,0,0,0,0,0,0,1.231527094,0.246305419,0,0.246305419,0,0,0.246305419,0,0,0,0,0,0,0,0.738916256,0.246305419,5.911330049,1.724137931,0,0,0,0,0,0,0,0,0.738916256,0,0,0,0,7.389162562,0,0,0,0,0,0,0,0.246305419,0.246305419,1.724137931,0.738916256,0,0,0,0,0,0,0,0,0,2.955665025,0,0.492610837,0,0,0,0,0,0,0,0.492610837,0,0,0,8.128078818
0,0,0,0,0,0,0,0,0,0.27027027,0,1.351351351,0.27027027,2.702702703,1.351351351,0.540540541,0,0,5.405405405,0,0,0,0,0,1.351351351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.432432432,0,0.540540541,0.540540541,0,0,0,0.27027027,0,0,0,0,0,0,0,0.810810811,0,0,48.64864865,0,1.351351351,0,0,0,0,0,0,0,0,0.27027027,0,0,0,0,0,0,0,0,0.27027027,0,0,0,0,0,0,0,0,0,0,0.810810811,0,0,0,0.27027027,0,0,0.27027027,0,0,0,0,0,0,0,0,1.351351351,0.27027027,0,0,0,0,0,0,0.27027027,0,0.27027027,0.27027027,0,0,0,0,0,0,0,0,0,0.540540541,0,0,0,0.27027027,0,0,0,0,0,0,0,5.945945946,0.540540541,0,0.27027027,0,0,0,0,0,0,0,0,0,0,0,0.27027027,0,0,0,0,0.27027027,0,0,1.621621622,0,0,0,0,0.810810811,0,0,0,0,0.27027027,4.594594595,2.972972973,1.081081081,0,0,0,0.27027027,0,0,0,0,1.351351351,0,0,0,0,0,0,0,0,0,0,5.675675676,0,0,0,0
0,0,0,0,0,0,0,0,0,1.078167116,0,0.269541779,0.269541779,1.078167116,0,0.539083558,0,0,2.964959569,0,0,0,0,0,12.93800539,0.539083558,4.312668464,0,0,0,0,0,0.269541779,0,0,0,0,0,0.269541779,0,0.269541779,0.269541779,0,0,0,0.539083558,0,1.617250674,0.269541779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.61455526,0,0.269541779,0,0,0,0,0,0,0,0,0.269541779,0,0,0,0,0.269541779,0,0.269541779,0,0,0,0,0,0,0,0.539083558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.964959569,0,0.269541779,0,0,0,0,0,0,0.269541779,0,0.269541779,0,0,0,0,0,0,0,0.269541779,0.808625337,0.539083558,0,0,0,0.539083558,0,0,0,0,0,0,0,4.312668464,0.539083558,0,0,0,0,0,0,0,0,0.539083558,0,0,0,0,0.269541779,0,0,0,0,1.078167116,0.269541779,0.539083558,0.808625337,0,0.539083558,0,0,1.078167116,0,0,0,0,0,4.043126685,4.312668464,2.964959569,0,0,0,0.808625337,0,0,0,0,0.539083558,0.269541779,0,0.539083558,0.269541779,0,0.269541779,0,0,0,0.269541779,4.582210243,0,0,0,0
0,0,0.387596899,0,0,0,0,0,0,1.162790698,0,2.713178295,2.325581395,0,0.387596899,1.550387597,0,0.387596899,5.03875969,0.775193798,0,0,0,0,5.426356589,0,1.937984496,0,0,0,0,0,0,0,0.387596899,0,0,0.387596899,0,0,0,0.387596899,0,0,0,0,0,2.713178295,0.387596899,0,0,0.387596899,0,0,0,0,0,0,0,0,2.325581395,0,0,8.527131783,0.775193798,2.325581395,0,0,0,0,0,0,0,0,0.387596899,0,0,0,0,0,0,0,0,0.387596899,0,0,0,0.775193798,0.387596899,0,0,0,0,0,0.387596899,0,0,1.550387597,0,0,0,0.387596899,0,0,2.325581395,0.387596899,0.775193798,0,0,0,3.100775194,0,0,0,0,0,0,0,0,0,0.387596899,0.387596899,0,0,0,0,0,0,0,0,0,0.387596899,0,0,0,0,0,0,0.387596899,0,0,0,0,4.651162791,0,0,0,0,0,0,0,0,0,0.387596899,0,0.775193798,0,0,8.527131783,0,0,0,0,0.387596899,0,0.387596899,0.387596899,0,0,0,0,0.387596899,0,0,0,0.387596899,0,3.875968992,7.364341085,2.325581395,0,0,0,0.387596899,0,0,0,0,0.775193798,0,0,3.875968992,0.387596899,0,1.162790698,1.550387597,0,0.775193798,0,1.162790698,0,0,0,0
0,0,0,0,0,0,0,0,0,0.775193798,0,0.258397933,1.550387597,0,0.516795866,1.291989664,0.516795866,0,15.7622739,0,0,0,0,0,26.87338501,0.516795866,5.684754522,0,0,0,0,0,0,0,0,0,0,0,0,0.258397933,0,0,0,0,0,0.516795866,0,0.775193798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.80878553,0,5.426356589,0,0,0,0,0,0,0,0,0.516795866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258397933,0,0,0,0,0,0,0,0,1.550387597,1.291989664,0.258397933,0,0,0,0,0.258397933,0,0,0.775193798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258397933,0,0,0,0,0,0,0,1.80878553,0.775193798,0,0,0,0,0,0,0,0.258397933,0.258397933,0,0,0,0,0.516795866,0,0,0,0,2.067183463,0,0,1.291989664,0,0,0,0,1.80878553,0,0,0,0,0.775193798,5.167958656,10.07751938,2.067183463,0,0,0,0.258397933,0,0,0,0,3.875968992,0,0,0,0,0,0,0,0,0,0,0.516795866,0,0,0,0
0,0,0,0,0,0,0,0,0,0.46728972,0,2.336448598,0.934579439,1.635514019,2.102803738,0.23364486,0.23364486,0,4.205607477,0,0,0,0,0,19.85981308,0.46728972,5.373831776,0,0,0,0,0,0,0,0,0,0,0,0,0.23364486,0,0,0,0,0,0.934579439,0,1.401869159,0.46728972,0,0,0.23364486,0,0,0,0,0,0,0,0,0,0,0,18.45794393,0.23364486,2.102803738,0,0,0,0,0,0,0,0,0.700934579,0,0,0,0,0.46728972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23364486,0,0,0,0,0,0,0,0,0.23364486,0,0,0,0,0,0,1.168224299,0.934579439,0.46728972,0,0,0,0,0,0,0,0.46728972,0,0,0,0,0,0,0,0,0.23364486,0,0,0,0,0,0.46728972,0,0,0,0,0,0,0,7.009345794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23364486,0,0,0,0.23364486,3.037383178,0,0,0.23364486,0,0,0,0,0.23364486,0,0,0,0,0,3.738317757,1.869158879,2.570093458,0,0,0,0.23364486,0,0,0,0,2.102803738,0,0,0.46728972,0,0,0,0,0,0,0,9.112149533,0,0.23364486,0,0
0,0.27700831,0.27700831,0,0,0,0,0,0,2.493074792,0,0.831024931,0.831024931,0,0.55401662,0,0,0,6.925207756,0,0,0,0,0,14.95844875,0,32.4099723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.831024931,0,0,0,0.27700831,0,0,0,0,0,0,0,0,0,0,14.95844875,0,0.831024931,0,0,0,0,0,0,0,0,0.27700831,0,0,0,0,0,0,0.27700831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.385041551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27700831,0,0,0,0,0,0,0,0,0,0,0,2.770083102,0.27700831,0,0,0,0,0,0,0.55401662,0,0,0,0,0,0,0,0,0,0,0.27700831,1.939058172,0,0,0,0,0,0,0,0.27700831,0,0,0,0,0.831024931,1.939058172,1.662049861,1.662049861,0,0,0,0,0,0,0,0,3.324099723,0,0,0,0,0,0,0,0,0,0,3.601108033,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.306748466,0,0,0,0.306748466,0,0,0,0,0,31.59509202,2.45398773,7.668711656,0,0,0,0,0,0.306748466,0,0,0,0,0.613496933,0.306748466,0,1.533742331,0,0,0,0,0,0,0,0,0,0,0,0.920245399,0,0,0,0,0,0,0.306748466,0.306748466,0,0,4.294478528,1.226993865,0.306748466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.306748466,0,0,0.306748466,0,0,0,0,0,0,0,0,0.306748466,0,0,0,0,0,0,0,0,0,0.306748466,0,0,0,0,0,0,0,0.306748466,0,1.226993865,0,0,0,0,0.306748466,0,0,0.306748466,0.306748466,0,0.920245399,0.306748466,7.055214724,0,0.613496933,0,7.36196319,0,0,0,0,0,0,0,2.45398773,0,0,0,0,0,1.226993865,0.613496933,1.533742331,0,0,0,0,0,0.306748466,0,0.613496933,0,0,0,0,0,0,0,0,0,2.147239264,0.613496933,0,0.920245399,0.613496933,0.613496933,0,0,0,0,0,0,0,1.226993865,2.147239264,0,2.147239264,0,0,0,0,0,0,0,0,0.613496933,0.306748466,0,0,0,0.306748466,0,0.306748466,0,0,0,1.226993865,0,2.760736196,1.226993865,0
0,0,0,0,0,0,0,0,0,0.316455696,0,0.949367089,1.265822785,0,1.265822785,0.949367089,0.316455696,0,1.582278481,0.316455696,0.632911392,0,0,0.949367089,6.962025316,0,28.79746835,0,0,0,0,0,0.632911392,0,0,0.316455696,0,0.316455696,0,0,2.53164557,1.582278481,0,0,0.632911392,0,0,0.949367089,0.316455696,0,0,0.316455696,0,0,0,0,0,0,0,2.53164557,0.316455696,0,0,9.17721519,0.949367089,1.898734177,0,0,0,0,0,0,0,0,1.265822785,0,0,0,0,0,0.316455696,0,0,0.316455696,0,0,0,0,0.316455696,0,0,0,0,0,0,0,0,0.316455696,0,0,0,0,0,0,0.632911392,0,0.316455696,0,0,0,0.632911392,0.316455696,0.316455696,0,0,0,0,0,0,0,0.316455696,0.316455696,0,0.632911392,0.316455696,0.949367089,0,0,0,4.746835443,1.898734177,0,0,0,0,0.316455696,0,0.632911392,0.316455696,0,0,0,0,1.265822785,0,0,0,0,0,0,0,0,0,0.949367089,0,0,0,0,1.582278481,0,0,0,0,1.582278481,1.265822785,0,0,0.316455696,0,0,0,0,0,0,0,0,0,2.215189873,1.582278481,0.316455696,0,0,0,0,0,0,0,0.316455696,0.949367089,0,0,0.632911392,0.316455696,0,0,0.632911392,0,0.316455696,0.316455696,2.848101266,0,0,0,0
0.522193211,0,0.261096606,0,0,0,0,0,0,0.261096606,0,1.044386423,0,0,0.522193211,0.261096606,0.261096606,0,0,0.261096606,0,0.261096606,0,0,7.049608355,0.522193211,16.97127937,0,0,0.261096606,0,0,0,0.522193211,0,0,0,0.783289817,0,1.305483029,5.483028721,0,0,0,0,0,0,0,0.522193211,0,0,0.522193211,0.261096606,0,0,0,0,0,0,0.522193211,0.522193211,0,0,11.48825065,0,5.744125326,0,0.522193211,0,0,0,0,0.261096606,0,0,0,0,1.044386423,0,0,0.522193211,0.522193211,0.261096606,0.261096606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.522193211,0,0,0,0.261096606,0,0,0,0.522193211,0,0,0,3.133159269,0,3.133159269,1.044386423,0,0.522193211,0,0,0,0,0.783289817,0,0,0,0,1.044386423,0.261096606,0,0,3.916449086,1.305483029,0,0.783289817,0,0,0,0,0.261096606,0,0,0,0,0,4.177545692,0,0,0,0,0,0,0,0,0,4.177545692,0,0,0,0.261096606,0.522193211,0,0,0,0,3.394255875,0.261096606,0.261096606,0,0,0,0,0,0,0.261096606,0,0,0,0.522193211,0.783289817,0.783289817,2.872062663,0,0,0,0,0,0,0,0.261096606,0.522193211,0,0,0,0.261096606,0,0.522193211,0.522193211,0,0.261096606,0,0.783289817,0,0,0,0
0,0,0.273224044,0,0,0,0,0,0,0.273224044,0,0.546448087,0.273224044,0,0.546448087,1.912568306,0,0,0.273224044,0,0,0.546448087,0,0,8.196721311,0,18.03278689,0,0,0,0,0,0,0,0,0,0,1.092896175,0,0.819672131,4.371584699,0,0,0,0,0,0,0,0.273224044,0,0,0.273224044,0,0.273224044,0,0,0,0,0,0,0,0,0,27.04918033,0,0.546448087,0,0,0,0.273224044,0,0,0,0,0,0.273224044,0,0.273224044,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273224044,0,0,0.273224044,0,0,0,0.273224044,0,0,0.273224044,0,0,0,0,0,0,0,0,3.825136612,0.273224044,1.366120219,0,0,0,0,0,0,0,0,0.273224044,0,0,0,0.819672131,0,0,0,4.371584699,0,0,0,0,0,0.273224044,0,0,0.273224044,0,0,0,0,4.098360656,0,0,0,0,0,0,0,0,0,0.819672131,0,0,0,0,0,0,0,0,0,1.912568306,0,0,1.092896175,0,0.273224044,0,0,0.273224044,0,0,0,0,0,0.819672131,0,4.918032787,0,0,0,0,0,0,0,0,1.366120219,0,0,0.546448087,0,0.273224044,0,0.546448087,0,0,0,3.551912568,0,0,0,0
0.625,0,0,0,0,0,0,0,0,0.3125,0,0.625,0.3125,0,0.3125,0.9375,0,0,0,0,0,0.625,0,0,8.4375,0,28.125,0,0,0,0,0,0.625,0.625,0,0,0,0.625,0,0,4.375,0,0,0,0,0,0,0,0.3125,0,0,0.3125,0,0.625,0,0,0,0,0,0,0,0,0,6.875,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0,0.9375,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3125,0,0,0.3125,0,0,0,0,0,0,0,0,2.5,0,0.3125,0,0,0,0,0,0,0,0,0,0,0,0,5.3125,0,0,0,12.8125,0.9375,0,0,0,0,0,0,1.5625,0,0.3125,0,0,0,1.25,0,0,0,0,0,0,0,0.625,0,4.0625,0,0.3125,0,0,0.3125,0,0,0,0.3125,0.9375,0,0,0,0.3125,0.9375,0,0,0,0,0,0,0,0,0.3125,0.3125,0.625,0,0,0,0,0,0,0,0,0.625,0.625,0,0.3125,0,0,0.3125,0.3125,0,0.3125,0,2.5,0,1.25,0,0
0.783289817,0.261096606,0.261096606,0,0,0,0,0,0,0,0,0.783289817,0,0,0.261096606,1.044386423,0,0,0,0,0,0,0,0,7.832898172,0,32.89817232,0,0,0,0,0,1.566579634,0,0,0.261096606,0,0.522193211,0,0,6.266318538,0.522193211,0,0,0,0,0,0.783289817,0,0,0,0,0,0.261096606,0,0,0,0,0,0.783289817,0,0,0,10.44386423,0.261096606,1.566579634,0,0,0.261096606,0,0,0,0,0,0,0,0,1.044386423,0,0,0,0,0,0.261096606,0,0,0.261096606,0,0,0.261096606,0,0,0,0,0.261096606,0,0,0,0.261096606,0,0,0,0,0,0,0,0,0,0,0,1.044386423,0,0.522193211,0,0.261096606,0,0,0,0,0,0.783289817,0,0,0.261096606,0.261096606,6.005221932,0,0.522193211,0.261096606,5.221932115,0.783289817,0,0,0.522193211,0,0.261096606,0,1.566579634,0,0,0.261096606,0,0,0.261096606,0.261096606,0,0,0,0,0,0,0,0,1.044386423,0,0,0,0,0,0,0,0,0,2.610966057,0,0,0.522193211,0.783289817,2.349869452,0,0,0,0,0,0,0,0,0.261096606,0,0.783289817,0,0,0,0,0,0,0,0,0.522193211,0,0,0,0,0,0,0,0,0,0,1.044386423,0,0.783289817,0,0
0,0,0,0,0.304878049,0,0,0,0.609756098,0.304878049,0,0.914634146,1.829268293,2.43902439,2.743902439,0.304878049,0.914634146,2.134146341,7.62195122,0.304878049,0,0,0,1.219512195,12.19512195,0,3.353658537,0,0,0,0,0,0,0,0,0.304878049,0,0,0.304878049,0,0,0,0,0,0.609756098,0,0,3.353658537,0.304878049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304878049,0,3.048780488,0,0,0,0,0,0,0,0,0.914634146,0,0,0,0.304878049,0,0,0,0,1.219512195,0,0,0,0,0,0,0,0,0,0,0.304878049,0,0,0.914634146,0,0,0,0,0.304878049,0.914634146,1.829268293,0.609756098,0.304878049,0,0,0,2.134146341,0.304878049,0,0,0,0,0,0,0,0,3.963414634,0,0,0,0.304878049,0,0,0,0,0,0.609756098,0,0,0,0,0,0,0,0,0,0,0,0,3.963414634,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304878049,2.134146341,0,0,0,0,0.304878049,0,0,0,0,2.134146341,0,1.219512195,0.304878049,0,0,0,0,0,1.219512195,7.926829268,1.219512195,0,0,0,1.829268293,0,0,0,0,2.43902439,0,0,1.829268293,0,1.524390244,0,3.658536585,0,1.524390244,0,0,0,0,0,0
